text,overall,sentiment,tweet_length,tokens,clean_text
 Finding acceptance in the midst of life's challenges.   ,1,Positive,57,"['finding', 'acceptance', 'in', 'the', 'midst', 'of', 'lifes', 'challenges']", finding acceptance in the midst of lifes challenges   
 Overflowing with adoration for my adorable pet! 🐾      ,1,Positive,56,"['overflowing', 'with', 'adoration', 'for', 'my', 'adorable', 'pet']", overflowing with adoration for my adorable pet       
 Anticipating a thrilling adventure in the coming weeks. ,1,Positive,57,"['anticipating', 'a', 'thrilling', 'adventure', 'in', 'the', 'coming', 'weeks']", anticipating a thrilling adventure in the coming weeks 
 Finding calmness in the midst of a busy day.            ,1,Positive,57,"['finding', 'calmness', 'in', 'the', 'midst', 'of', 'a', 'busy', 'day']", finding calmness in the midst of a busy day            
 Excitement building up for the upcoming vacation!       ,1,Positive,57,"['excitement', 'building', 'up', 'for', 'the', 'upcoming', 'vacation']", excitement building up for the upcoming vacation       
 Kindness witnessed today restored my faith in humanity. ,1,Positive,57,"['kindness', 'witnessed', 'today', 'restored', 'my', 'faith', 'in', 'humanity']", kindness witnessed today restored my faith in humanity 
 Pride in achieving a personal milestone.               ,1,Positive,56,"['pride', 'in', 'achieving', 'a', 'personal', 'milestone']", pride in achieving a personal milestone               
 A moment of shame for not standing up against injustice. ,0,Negative,58,"['a', 'moment', 'of', 'shame', 'for', 'not', 'standing', 'up', 'against', 'injustice']", a moment of shame for not standing up against injustice 
 Fuming with anger after a heated argument.            ,0,Negative,55,"['fuming', 'with', 'anger', 'after', 'a', 'heated', 'argument']", fuming with anger after a heated argument            
 The fear of the unknown is keeping me up at night.    ,0,Negative,55,"['the', 'fear', 'of', 'the', 'unknown', 'is', 'keeping', 'me', 'up', 'at', 'night']", the fear of the unknown is keeping me up at night    
 Heartfelt sadness after bidding farewell to a dear friend. ,0,Negative,60,"['heartfelt', 'sadness', 'after', 'bidding', 'farewell', 'to', 'a', 'dear', 'friend']", heartfelt sadness after bidding farewell to a dear friend 
 The state of corruption in our society is utterly disgusting. ,0,Negative,63,"['the', 'state', 'of', 'corruption', 'in', 'our', 'society', 'is', 'utterly', 'disgusting']", the state of corruption in our society is utterly disgusting 
 Overflowing happiness: welcoming a new family member!  ,1,Positive,56,"['overflowing', 'happiness', 'welcoming', 'a', 'new', 'family', 'member']", overflowing happiness welcoming a new family member  
 Laughter is the key to joy—attending a stand-up comedy show. ,1,Positive,62,"['laughter', 'is', 'the', 'key', 'to', 'joyattending', 'a', 'standup', 'comedy', 'show']", laughter is the key to joyattending a standup comedy show 
 Sending love to all my followers on this beautiful day! ❤️ ,1,Positive,60,"['sending', 'love', 'to', 'all', 'my', 'followers', 'on', 'this', 'beautiful', 'day']", sending love to all my followers on this beautiful day  
 Enjoying every moment of this trip—pure enjoyment!      ,1,Positive,57,"['enjoying', 'every', 'moment', 'of', 'this', 'trippure', 'enjoyment']", enjoying every moment of this trippure enjoyment      
 Admiring the dedication of volunteers at a local charity. ,1,Positive,59,"['admiring', 'the', 'dedication', 'of', 'volunteers', 'at', 'a', 'local', 'charity']", admiring the dedication of volunteers at a local charity 
 Sending affectionate vibes to friends and family.        ,1,Positive,58,"['sending', 'affectionate', 'vibes', 'to', 'friends', 'and', 'family']", sending affectionate vibes to friends and family        
 Awe-struck by the beauty of the night sky.               ,1,Positive,58,"['awestruck', 'by', 'the', 'beauty', 'of', 'the', 'night', 'sky']", awestruck by the beauty of the night sky               
 Disappointed with the lack of progress in a personal project. ,0,Negative,63,"['disappointed', 'with', 'the', 'lack', 'of', 'progress', 'in', 'a', 'personal', 'project']", disappointed with the lack of progress in a personal project 
 Embracing acceptance of life's ups and downs.           ,1,Positive,57,"['embracing', 'acceptance', 'of', 'lifes', 'ups', 'and', 'downs']", embracing acceptance of lifes ups and downs           
 Overflowing adoration for a cute rescue puppy! 🐶       ,1,Positive,56,"['overflowing', 'adoration', 'for', 'a', 'cute', 'rescue', 'puppy']", overflowing adoration for a cute rescue puppy        
 Anticipating the release of a much-awaited movie.       ,1,Positive,57,"['anticipating', 'the', 'release', 'of', 'a', 'muchawaited', 'movie']", anticipating the release of a muchawaited movie       
 Finding calmness amidst the chaos of daily life.        ,1,Positive,57,"['finding', 'calmness', 'amidst', 'the', 'chaos', 'of', 'daily', 'life']", finding calmness amidst the chaos of daily life        
 Excitement building up for a surprise birthday party.   ,1,Positive,57,"['excitement', 'building', 'up', 'for', 'a', 'surprise', 'birthday', 'party']", excitement building up for a surprise birthday party   
 Witnessed an act of kindness that made my day.          ,1,Positive,57,"['witnessed', 'an', 'act', 'of', 'kindness', 'that', 'made', 'my', 'day']", witnessed an act of kindness that made my day          
 Pride in completing a challenging fitness challenge.    ,1,Positive,57,"['pride', 'in', 'completing', 'a', 'challenging', 'fitness', 'challenge']", pride in completing a challenging fitness challenge    
 A moment of shame for not speaking up against injustice.,0,Negative,57,"['a', 'moment', 'of', 'shame', 'for', 'not', 'speaking', 'up', 'against', 'injustice']", a moment of shame for not speaking up against injustice
 Reflecting on the beauty of diversity in our world.     ,1,Positive,57,"['reflecting', 'on', 'the', 'beauty', 'of', 'diversity', 'in', 'our', 'world']", reflecting on the beauty of diversity in our world     
 Excitement for a quiet evening with a good book.        ,1,Positive,57,"['excitement', 'for', 'a', 'quiet', 'evening', 'with', 'a', 'good', 'book']", excitement for a quiet evening with a good book        
 Calmness prevails as I practice mindfulness.            ,1,Positive,57,"['calmness', 'prevails', 'as', 'i', 'practice', 'mindfulness']", calmness prevails as i practice mindfulness            
 Excitement for a weekend road trip to explore new places. ,1,Positive,59,"['excitement', 'for', 'a', 'weekend', 'road', 'trip', 'to', 'explore', 'new', 'places']", excitement for a weekend road trip to explore new places 
 Kindness witnessed today restores my faith in humanity.  ,1,Positive,58,"['kindness', 'witnessed', 'today', 'restores', 'my', 'faith', 'in', 'humanity']", kindness witnessed today restores my faith in humanity  
 Pride in accomplishing personal and professional goals.  ,1,Positive,58,"['pride', 'in', 'accomplishing', 'personal', 'and', 'professional', 'goals']", pride in accomplishing personal and professional goals  
 Shame for not being true to my values in a difficult situation.,0,Negative,64,"['shame', 'for', 'not', 'being', 'true', 'to', 'my', 'values', 'in', 'a', 'difficult', 'situation']", shame for not being true to my values in a difficult situation
" Revisiting old memories, feeling a sense of elation. ",1,Positive,54,"['revisiting', 'old', 'memories', 'feeling', 'a', 'sense', 'of', 'elation']", revisiting old memories feeling a sense of elation 
 The victory of our team brought euphoria to the city. ,1,Positive,55,"['the', 'victory', 'of', 'our', 'team', 'brought', 'euphoria', 'to', 'the', 'city']", the victory of our team brought euphoria to the city 
" Embracing the beauty of nature, a moment of contentment. ",1,Positive,58,"['embracing', 'the', 'beauty', 'of', 'nature', 'a', 'moment', 'of', 'contentment']", embracing the beauty of nature a moment of contentment 
" Meditating by the serene lake, finding inner peace.   ",1,Positive,55,"['meditating', 'by', 'the', 'serene', 'lake', 'finding', 'inner', 'peace']", meditating by the serene lake finding inner peace   
 Overflowing with gratitude for life's blessings.      ,1,Positive,55,"['overflowing', 'with', 'gratitude', 'for', 'lifes', 'blessings']", overflowing with gratitude for lifes blessings      
" Hopeful for a brighter tomorrow, despite challenges.  ",1,Positive,55,"['hopeful', 'for', 'a', 'brighter', 'tomorrow', 'despite', 'challenges']", hopeful for a brighter tomorrow despite challenges  
 Empowered to make a difference in my community.        ,1,Positive,56,"['empowered', 'to', 'make', 'a', 'difference', 'in', 'my', 'community']", empowered to make a difference in my community        
 Compassion in action: supporting a local charity event. ,1,Positive,57,"['compassion', 'in', 'action', 'supporting', 'a', 'local', 'charity', 'event']", compassion in action supporting a local charity event 
" A moment of tenderness, connecting with loved ones.    ",1,Positive,56,"['a', 'moment', 'of', 'tenderness', 'connecting', 'with', 'loved', 'ones']", a moment of tenderness connecting with loved ones    
 Enthusiastically diving into a new project.            ,1,Positive,56,"['enthusiastically', 'diving', 'into', 'a', 'new', 'project']", enthusiastically diving into a new project            
 Feeling a sense of fulfillment after reaching a milestone.,1,Positive,59,"['feeling', 'a', 'sense', 'of', 'fulfillment', 'after', 'reaching', 'a', 'milestone']", feeling a sense of fulfillment after reaching a milestone
 Reverence for the beauty of a historic landmark.       ,1,Positive,56,"['reverence', 'for', 'the', 'beauty', 'of', 'a', 'historic', 'landmark']", reverence for the beauty of a historic landmark       
 Elation after a surprise reunion with old friends.    ,1,Positive,55,"['elation', 'after', 'a', 'surprise', 'reunion', 'with', 'old', 'friends']", elation after a surprise reunion with old friends    
 The euphoria of a live music concert under the stars.  ,1,Positive,56,"['the', 'euphoria', 'of', 'a', 'live', 'music', 'concert', 'under', 'the', 'stars']", the euphoria of a live music concert under the stars  
 Contentment in the simplicity of a quiet Sunday.       ,1,Positive,56,"['contentment', 'in', 'the', 'simplicity', 'of', 'a', 'quiet', 'sunday']", contentment in the simplicity of a quiet sunday       
 Serenity found in the pages of a favorite book.        ,1,Positive,56,"['serenity', 'found', 'in', 'the', 'pages', 'of', 'a', 'favorite', 'book']", serenity found in the pages of a favorite book        
 Gratitude for the support received during tough times. ,1,Positive,56,"['gratitude', 'for', 'the', 'support', 'received', 'during', 'tough', 'times']", gratitude for the support received during tough times 
 Hopeful about the possibilities of a new journey.      ,1,Positive,56,"['hopeful', 'about', 'the', 'possibilities', 'of', 'a', 'new', 'journey']", hopeful about the possibilities of a new journey      
 Empowerment through learning and personal growth.      ,1,Positive,56,"['empowerment', 'through', 'learning', 'and', 'personal', 'growth']", empowerment through learning and personal growth      
 Compassion towards those in need during the holidays.  ,1,Positive,56,"['compassion', 'towards', 'those', 'in', 'need', 'during', 'the', 'holidays']", compassion towards those in need during the holidays  
 Tenderness in the warmth of a cozy winter evening.     ,1,Positive,56,"['tenderness', 'in', 'the', 'warmth', 'of', 'a', 'cozy', 'winter', 'evening']", tenderness in the warmth of a cozy winter evening     
 Enthusiasm for a creative project in the making.       ,1,Positive,56,"['enthusiasm', 'for', 'a', 'creative', 'project', 'in', 'the', 'making']", enthusiasm for a creative project in the making       
 Fulfillment in completing a challenging workout routine.,1,Positive,57,"['fulfillment', 'in', 'completing', 'a', 'challenging', 'workout', 'routine']", fulfillment in completing a challenging workout routine
 Reverence for the artistry displayed in a museum.      ,1,Positive,56,"['reverence', 'for', 'the', 'artistry', 'displayed', 'in', 'a', 'museum']", reverence for the artistry displayed in a museum      
 Elation after achieving a personal goal.               ,1,Positive,56,"['elation', 'after', 'achieving', 'a', 'personal', 'goal']", elation after achieving a personal goal               
 Elation over discovering a hidden gem in the city.   ,1,Positive,54,"['elation', 'over', 'discovering', 'a', 'hidden', 'gem', 'in', 'the', 'city']", elation over discovering a hidden gem in the city   
 The euphoria of a surprise birthday celebration.     ,1,Positive,54,"['the', 'euphoria', 'of', 'a', 'surprise', 'birthday', 'celebration']", the euphoria of a surprise birthday celebration     
 Contentment in the simplicity of a home-cooked meal. ,1,Positive,54,"['contentment', 'in', 'the', 'simplicity', 'of', 'a', 'homecooked', 'meal']", contentment in the simplicity of a homecooked meal 
 Serenity found in the melody of a peaceful piano.    ,1,Positive,54,"['serenity', 'found', 'in', 'the', 'melody', 'of', 'a', 'peaceful', 'piano']", serenity found in the melody of a peaceful piano    
 Gratitude for the supportive community around me.    ,1,Positive,54,"['gratitude', 'for', 'the', 'supportive', 'community', 'around', 'me']", gratitude for the supportive community around me    
 Hopeful about the prospects of a new business venture.,1,Positive,55,"['hopeful', 'about', 'the', 'prospects', 'of', 'a', 'new', 'business', 'venture']", hopeful about the prospects of a new business venture
 Empowerment through mentoring and guiding others.    ,1,Positive,54,"['empowerment', 'through', 'mentoring', 'and', 'guiding', 'others']", empowerment through mentoring and guiding others    
 Compassion shown through acts of kindness in the community.,1,Positive,60,"['compassion', 'shown', 'through', 'acts', 'of', 'kindness', 'in', 'the', 'community']", compassion shown through acts of kindness in the community
 Tenderness in a heartfelt message to a loved one.    ,1,Positive,54,"['tenderness', 'in', 'a', 'heartfelt', 'message', 'to', 'a', 'loved', 'one']", tenderness in a heartfelt message to a loved one    
 Enthusiasm for a new artistic project in the works.  ,1,Positive,54,"['enthusiasm', 'for', 'a', 'new', 'artistic', 'project', 'in', 'the', 'works']", enthusiasm for a new artistic project in the works  
 Feeling a sense of fulfillment after helping others. ,1,Positive,54,"['feeling', 'a', 'sense', 'of', 'fulfillment', 'after', 'helping', 'others']", feeling a sense of fulfillment after helping others 
 Reverence for the historical significance of a landmark.,1,Positive,57,"['reverence', 'for', 'the', 'historical', 'significance', 'of', 'a', 'landmark']", reverence for the historical significance of a landmark
 Elation after achieving a fitness milestone.         ,1,Positive,54,"['elation', 'after', 'achieving', 'a', 'fitness', 'milestone']", elation after achieving a fitness milestone         
 The euphoria of a successful product launch.         ,1,Positive,54,"['the', 'euphoria', 'of', 'a', 'successful', 'product', 'launch']", the euphoria of a successful product launch         
 Contentment in the embrace of a loved one.           ,1,Positive,54,"['contentment', 'in', 'the', 'embrace', 'of', 'a', 'loved', 'one']", contentment in the embrace of a loved one           
 Serenity found in the beauty of a sunset by the sea.  ,1,Positive,55,"['serenity', 'found', 'in', 'the', 'beauty', 'of', 'a', 'sunset', 'by', 'the', 'sea']", serenity found in the beauty of a sunset by the sea  
 Gratitude for the small joys that each day brings.   ,1,Positive,54,"['gratitude', 'for', 'the', 'small', 'joys', 'that', 'each', 'day', 'brings']", gratitude for the small joys that each day brings   
 Hopeful about the potential for personal growth.      ,1,Positive,55,"['hopeful', 'about', 'the', 'potential', 'for', 'personal', 'growth']", hopeful about the potential for personal growth      
 Empowerment through learning a new skill.            ,1,Positive,54,"['empowerment', 'through', 'learning', 'a', 'new', 'skill']", empowerment through learning a new skill            
 Compassion in volunteering for a local charity.       ,1,Positive,55,"['compassion', 'in', 'volunteering', 'for', 'a', 'local', 'charity']", compassion in volunteering for a local charity       
 Tenderness in a quiet moment shared with a pet.      ,1,Positive,54,"['tenderness', 'in', 'a', 'quiet', 'moment', 'shared', 'with', 'a', 'pet']", tenderness in a quiet moment shared with a pet      
 Enthusiasm for a DIY home improvement project.       ,1,Positive,54,"['enthusiasm', 'for', 'a', 'diy', 'home', 'improvement', 'project']", enthusiasm for a diy home improvement project       
 Fulfillment in completing a challenging puzzle.      ,1,Positive,54,"['fulfillment', 'in', 'completing', 'a', 'challenging', 'puzzle']", fulfillment in completing a challenging puzzle      
 Reverence for the wonders of nature on a hiking trail.,1,Positive,55,"['reverence', 'for', 'the', 'wonders', 'of', 'nature', 'on', 'a', 'hiking', 'trail']", reverence for the wonders of nature on a hiking trail
 Elation after a surprise reunion with a childhood friend.,1,Positive,58,"['elation', 'after', 'a', 'surprise', 'reunion', 'with', 'a', 'childhood', 'friend']", elation after a surprise reunion with a childhood friend
 Suffering from despair after another setback.      ,0,Negative,52,"['suffering', 'from', 'despair', 'after', 'another', 'setback']", suffering from despair after another setback      
" Overwhelmed by grief, missing a loved one dearly.  ",0,Negative,52,"['overwhelmed', 'by', 'grief', 'missing', 'a', 'loved', 'one', 'dearly']", overwhelmed by grief missing a loved one dearly  
 Loneliness creeps in as the night grows colder.    ,0,Negative,52,"['loneliness', 'creeps', 'in', 'as', 'the', 'night', 'grows', 'colder']", loneliness creeps in as the night grows colder    
 Jealousy consumes me as I witness others' success. ,0,Negative,52,"['jealousy', 'consumes', 'me', 'as', 'i', 'witness', 'others', 'success']", jealousy consumes me as i witness others success 
 Resentment building up over past betrayals.        ,0,Negative,52,"['resentment', 'building', 'up', 'over', 'past', 'betrayals']", resentment building up over past betrayals        
 Frustration mounts as obstacles block my path.     ,0,Negative,52,"['frustration', 'mounts', 'as', 'obstacles', 'block', 'my', 'path']", frustration mounts as obstacles block my path     
" Boredom sets in, the day feels endlessly dull.     ",0,Negative,52,"['boredom', 'sets', 'in', 'the', 'day', 'feels', 'endlessly', 'dull']", boredom sets in the day feels endlessly dull     
" Anxiety grips my heart, worry clouds my thoughts.  ",0,Negative,52,"['anxiety', 'grips', 'my', 'heart', 'worry', 'clouds', 'my', 'thoughts']", anxiety grips my heart worry clouds my thoughts  
 Intimidation by the unknown future ahead.          ,0,Negative,52,"['intimidation', 'by', 'the', 'unknown', 'future', 'ahead']", intimidation by the unknown future ahead          
 Helplessness sinks in as challenges pile up.       ,0,Negative,52,"['helplessness', 'sinks', 'in', 'as', 'challenges', 'pile', 'up']", helplessness sinks in as challenges pile up       
 Envy eats away at me as I see others' prosperity.  ,0,Negative,52,"['envy', 'eats', 'away', 'at', 'me', 'as', 'i', 'see', 'others', 'prosperity']", envy eats away at me as i see others prosperity  
 Regret over missed opportunities haunts my thoughts.,0,Negative,53,"['regret', 'over', 'missed', 'opportunities', 'haunts', 'my', 'thoughts']", regret over missed opportunities haunts my thoughts
 Disgust at the sight of injustice and cruelty.     ,0,Negative,52,"['disgust', 'at', 'the', 'sight', 'of', 'injustice', 'and', 'cruelty']", disgust at the sight of injustice and cruelty     
" Drowning in despair, hope slipping through my fingers.",0,Negative,55,"['drowning', 'in', 'despair', 'hope', 'slipping', 'through', 'my', 'fingers']", drowning in despair hope slipping through my fingers
" Grief weighs heavy, tears a constant companion.    ",0,Negative,52,"['grief', 'weighs', 'heavy', 'tears', 'a', 'constant', 'companion']", grief weighs heavy tears a constant companion    
" Loneliness in a crowded room, a silent cry for connection.",0,Negative,59,"['loneliness', 'in', 'a', 'crowded', 'room', 'a', 'silent', 'cry', 'for', 'connection']", loneliness in a crowded room a silent cry for connection
" Jealousy gnaws at my confidence, a toxic emotion.  ",0,Negative,52,"['jealousy', 'gnaws', 'at', 'my', 'confidence', 'a', 'toxic', 'emotion']", jealousy gnaws at my confidence a toxic emotion  
" Resentment festers, poisoning relationships.       ",0,Negative,52,"['resentment', 'festers', 'poisoning', 'relationships']", resentment festers poisoning relationships       
" Frustration boils over, a volcanic eruption of emotions.",0,Negative,57,"['frustration', 'boils', 'over', 'a', 'volcanic', 'eruption', 'of', 'emotions']", frustration boils over a volcanic eruption of emotions
" Boredom settles like dust, life feels mundane.     ",0,Negative,52,"['boredom', 'settles', 'like', 'dust', 'life', 'feels', 'mundane']", boredom settles like dust life feels mundane     
" Anxiety grips my chest, a relentless grip on my thoughts.",0,Negative,58,"['anxiety', 'grips', 'my', 'chest', 'a', 'relentless', 'grip', 'on', 'my', 'thoughts']", anxiety grips my chest a relentless grip on my thoughts
" Intimidation by the challenges ahead, fear takes hold.",0,Negative,55,"['intimidation', 'by', 'the', 'challenges', 'ahead', 'fear', 'takes', 'hold']", intimidation by the challenges ahead fear takes hold
" Helplessness engulfs me, drowning in a sea of problems.",0,Negative,56,"['helplessness', 'engulfs', 'me', 'drowning', 'in', 'a', 'sea', 'of', 'problems']", helplessness engulfs me drowning in a sea of problems
" Envy poisons my thoughts, coveting others' success.",0,Negative,52,"['envy', 'poisons', 'my', 'thoughts', 'coveting', 'others', 'success']", envy poisons my thoughts coveting others success
