tweet,brand,sentiment,clean_text,overall
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive,great sxsw ipad app from,1
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive,haha awesomely rad ipad app by hollergram sxsw,1
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative,i just noticed dst is coming this weekend how many iphone users will be an hour late at sxsw come sunday morning sxsw iphone,0
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive,just added my sxsw flights to matching people on planesairports also downloaded the iphone app nicely done,1
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive,must have sxsw app rt lovely review from forbes for our sxsw ipad app holler gram,1
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive,need to buy an ipad while im in austin at sxsw not sure if ill need to q up at an austin apple store,1
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive,oh my god the sxsw app for ipad is pure unadulterated awesome its easier to browse events on ipad than on the website,1
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive,okay this is really it yay new for android app kthxbai sxsw,1
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive,photo just installed the sxsw iphone app which is really nice,1
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive,really enjoying the changes in gowalla for android looking forward to seeing what else they amp foursquare have up their sleeves at sxsw,1
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive,rt im looking forward to the smcdallas pre sxsw party wed and hoping ill win an ipad resulting from my shameless promotion chevysmc,1
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive,rt haha awesomely rad ipad app by hollergram sxsw via,1
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive,someone started an austin group in google groups presxsw great idea,1
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive,the new sq looks like it is going to rock update for iphone and android should push tonight sxsw keepaustinweird,1
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive,they were right the app on android is sweeeeet nice job by the team there sxsw,1
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive,very smart from hollergram ipad app for sxsw may leave my vuvuzela at home now,1
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive,you must have this app for your ipad if you are going to sxsw hollergram,1
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive,the best rt ha first in line for ipad at sxsw quotpopupquot apple store was an event planner eventprofs pcma engage,1
@mention  - False Alarm: Google Circles Not Coming Now���and Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative,false alarm google circles not coming nowand probably not ever link google circles social sxsw,0
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive,great weather to greet you for sxsw still need a sweater at nightapple putting up quotflash storequot downtown to sell ipad,1
Hand-Held ���Hobo�۪: Drafthouse launches ���Hobo With a Shotgun�۪ iPhone app #SXSW {link},Unknown,Positive,handheld hobo drafthouse launches hobo with a shotgun iphone app sxsw link,1
HOORAY RT ���@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive,hooray rt apple is opening a popup store in austin for sxsw link,1
wooooo!!! ���@mention Apple store downtown Austin open til Midnight. #sxsw�۝,Apple,Positive,wooooo apple store downtown austin open til midnight sxsw,1
���@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw�۝,Google,Positive,talking about link googles effort to allow users to have open systems bettercloud sxsw,1
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive,link rt st stop on the sxsw chaos amp hunt austin java get in the spy game a chance win an ipad,1
Again? RT @mention Line at the Apple store is insane.. #sxsw,Unknown,Negative,again rt line at the apple store is insane sxsw,0
attending @mention iPad design headaches #sxsw {link},iPad,Negative,attending ipad design headaches sxsw link,0
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",Unknown,Negative,boooo rt flipboard is developing an iphone version not android says sxsw,0
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive,check out amp in line for their ipad in austin power to them sxswi sxsw link,1
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive,do it rt come party w google tonight at sxsw link bands food art ice cream nifty interactive maps,1
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive,holla rt at google party best ever get your butt over here sxsw,1
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive,i love my iphone case from sxsw but i cant get my phone out of it fail,1
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive,new post iphone app makes it easy to connect on all social networks with people you meet link sxsw,1
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive,nice that iphone app is behaving today crashes yesterday were ridiculous sxsw,1
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive,nice rt hey apple fans get a peek at the space thats slated to be a popup sxsw apple store tomorrow link,1
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive,one thing is doing so great is get a great down to earth face to google as a company you can only love her sxsw sxwsi,1
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive,thanks to for her mention of our new speech ipad apps being showcased at the sxsw conf link sxswh sxsh,1
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative,what sxsw does not provide iphone chargers ive changed my mind about going next year,0
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive,xmas rt shiny new apps a new book popup ipad stores sxsw is christmas for nerds,1
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive,yai rt new ubersocial for iphone now in the app store includes uberguide to sxsw sponsored by cont link,1
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive,fast fun amp future of google presenting at sxsw on search local and mobile,1
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive,headline quotipad is the musthave gadget at sxswquot hmm i could have seen that one coming link gadget,1
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,Unknown,Negative,know that quotdatavizquot translates to quotsatanicquot on an iphone im just sayin sxsw,0
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive,quotgoogle launched checkins a month agoquot check ins are ok but check outs are the future sxsw bizzy,1
"���@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.�۝",Google,Positive,quotgoogle before you tweetquot is the new quotthink before you speakquot mark belinsky tweets panel at sxsw,1
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive,kawasaki quotnot cs lewis level reasoning but apples continued existence is evidence for the existence of godquot bawling sxsw,1
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive,kawasaki quotpagemaker saved applequot oh those were the days sxsw jwtatl enchantment via,1
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},Unknown,Positive,spark for android is up for a teamandroid award at sxsw read about it here link,1
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive,sxsw and apple ipad s are great but thoughts are w japan and apac regions dealing w earthquake amp tsunami trauma sxswi,1
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive,at sxsw apple schools the marketing experts link,1
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive,temporary apple store is def not a tent its a powerhouse gym sxsw link,1
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive,temporary apple store on th and congress for sxsw along with very happy hipsters,1
���@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive,apple wins sxsw link opening a temporary store in downtown austin to support ipad launch that is good,1
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive,christian ipad iphone devs i want to talk to u at sxsw or after maybe we can wk together on cool app me,1
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive,the apple ipad has taken sxsw and austin by storm link excited to a be a part mobile,1
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive,i can haz ipad ifrom sxsw gr link,1
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive,stacks of ipads waiting to be bought at sxsw i got mine no hassle at all apple handled this perfectly link,1
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,Unknown,Positive,does your smallbiz need reviews to play on google placeswe got an app for thatlink seo sxsw,1
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive,take that sxsw rt major south korean director gets to make a movie entirely with his iphone link,1
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive,beautiful sxsw apple store sxsw pic link,1
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive,must have sxsw app rt lovely review from forbes for our sxsw ipad app holler gram link,1
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive,temporary sxsw apple store apple being sneaky as usual link,1
���@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.�۝,iPad or iPhone App,Positive,sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana cool app,1
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive,apple won sxsw from day one seeing a ton of ipad,1
���@mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ @mention Did you manage to get yours?,iPad,Positive,sxsw ipad store sold out of everything except gig wifi only white did you manage to get yours,1
���@mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ also known as the white jeans configuration.,iPad,Positive,sxsw ipad store sold out of everything except gig wifi only white also known as the white jeans configuration,1
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive,offered a sxsw ipad promo to ninjafinder users and fans who are not here at sxsw sucks to not be here sxsw,1
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,Unknown,Positive,sxsw lonelyplanet austin guide for iphone is free for a limited time link lp travel,1
The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive,the apple sxsw store still has ipad s and short lines,1
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive,just left sxsw tradeshow demo of at the google theatre ok i get it i see why all the presenters here are using it,1
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive,anyone at sxsw want to make a quick hundred dollars new ipad from ad hoc apple store here gets hundred plus cost,1
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive,monday at sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis how mondays should be,1
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,Negative,seriously sxsw did you do any testing on the mobile apps constant ipad crashes causing lost schedules and no sync for wp,0
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,Positive,ready for sxsw here are some iphone apps make ur blogging easier link sxsw sxswi,1
ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,Negative,ipad and sxswa conflagration of doofusness link,0
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive,attention sxswers link rumored popup temporary apple store for all your sxsw ipad launch needs,1
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,Positive,i went to sxswi and all i won was this lousy ipad sxsw link,1
This is a #WINNING picture #android #google #sxsw {link},Android,Positive,this is a winning picture android google sxsw link,1
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,Negative,you spent to come to sxsw youve already used ipad the wait is a couple city blocks why ipad sxsw link,0
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,Positive,behind on s of emails give them all line iphone composed replies sxsw protip,1
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,Positive,its like pm at night and there is a line around the block at the popup apple stores selling ipads sxsw,1
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,Negative,im up to ipad s seen in the wild both people say it is fast but the still pics are terrible sxsw,0
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,Positive,the ipad takes over sxsw video by link,1
many iPad 2's snapping away at the keynote slides! #sxsw,iPad,Positive,many ipad s snapping away at the keynote slides sxsw,1
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,Positive,new post iphone apps well be using at south by southwest interactive link sxsw sxswi,1
sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,Positive,sweet new d google maps demo going on in ballroom d sxsw,1
More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,Positive,more than million miles per day are driving with google maps navigation sxsw,1
"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,Positive,if youre a band at sxsw and want to share a track with your audience from stage use frostwire for android if theres wifi available,1
if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,Positive,if u have a iphone you dont need a caruse zimride etc to share rides sxsw shareable,1
Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,Positive,picked up a mophie battery case my iphone in prep for sxsw not lugging around a laptop amp only using my phone was a huge win last year,1
"Not to be a rumor monger, but this was a good read �_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,Positive,not to be a rumor monger but this was a good read google circles preview sxsw link by via socbiz fb,1
Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,iPad or iPhone App,Positive,hobo with a shotgun video game coming to ipadiphone users yes please link sxsw,1
build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,Positive,build out a store in less than hours and have one of the biggest launches in this companys history we got this apple sxsw ipad,1
Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,Positive,just read about groupme at sxswsounds like an incredible app is it available for android phones yet,1
"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",iPhone,Negative,if iphone alarms botch the timechange how many sxswers freak late to flights missed panels behind on bloody marys,0
Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,Positive,shouts to all the ladies holding up their ipad s at free sxsw shows to take photos while sipping free beer cc,1
I meant I also wish I  at #SXSW #dyac stupid iPhone!,iPhone,Negative,i meant i also wish i at sxsw dyac stupid iphone,0
Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},Apple,Positive,rumors of an apple store opening for sxsw at th amp congress all signs point to yes link,1
picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,iPad,Positive,picked up an ipad at the sxsw pop up apple store only minute wait,1
Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,Google,Positive,brilliant and enlightening game mechanics presentation by from google sxsw,1
marketing and sales GENIUS: {link} #Apple #SXSW,Apple,Positive,marketing and sales genius link apple sxsw,1
"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",iPhone,Positive,do i need any more for sxsw ipad iphone laptop dictaphone vidcamera wow love to meet the real cerebellum charged people,1
The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,iPad or iPhone App,Positive,the sxsw app for my iphone is ridiculous its my personal planner for the next days,1
"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",iPad or iPhone App,Negative,found the app kyping my iphones geolocation amp not releasing when in background need a patch batterykiller sxsw,0
the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,iPad or iPhone App,Positive,the sxsw app on the iphone is live rsvp for events from your phone amp check out sundayswaggereventbritecom scoremore,1
Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},Android App,Positive,love this app so awesome rt must see android app at sxsw quotbizzyquot link,1
Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,Apple,Negative,of course apple built a temp store in austin its texas they understand the concept of corralling cattle sxsw pickmeupanipad,0
Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link},Apple,Positive,love that apple didnt let something like not having a retail store near sxsw keep them away by opening a popup store link,1
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,Apple,Positive,surprise apple has opened a popup store in austin so that the nerds in town for sxsw can get their new link cnet,1
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet,iPad,Positive,surprise apple has opened a popup store in austin so that the nerds in town for sxsw can get their new ipads link cnet,1
Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},Apple,Positive,surprise apple has opened a popup store in austin so that the nerds in town for sxsw can get their new ipads link,1
���@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,Apple,Positive,apple is a great example of a retail store layed out for the future no registers no checkout line sxsw,1
���@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw,Apple,Positive,apple is opening up a temporary store in downtown austin for sxsw and the ipad launch link gswsxsw,1
���@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.,Apple,Negative,apple is opening up a temporary store in downtown austin for sxsw and the ipad launchquot oh yay more traffic,0
"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",iPad,Positive,the sxsw apple popup store is open at noon has a fresh shipment of ipad s and im pretty sure im going to get one fingers crossed,1
"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech",Apple,Positive,technews apple saves sxsw set to open popup store link technews apple sxsw tech,1
"At #SXSW, Apple schools the marketing experts {link}",Apple,Positive,at sxsw apple schools the marketing experts link,1
"At #SXSW, Apple schools the marketing experts {link} via @mention",Apple,Positive,at sxsw apple schools the marketing experts link via,1
"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",Apple,Positive,at sxsw apple schools the marketing experts link via ltlt true love or loathe them no one does marketing like them,1
"At #SXSW, Apple schools the marketing experts | CNET - {link}",Apple,Positive,at sxsw apple schools the marketing experts cnet link,1
"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail",Apple,Positive,at sxsw apple schools the marketing experts cnet blogs link austin atx retail,1
���@mention Apple store downtown Austin open til Midnight. #sxsw�۝ @mention there's still time :),Apple,Positive,apple store downtown austin open til midnight sxsw theres still time,1
&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw,Apple,Negative,quotthe apple store at the mall on sunday is x as crowded as this this line is fake i just need a fucking donglequot genius let me in sxsw,0
Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple,Apple,Positive,makeshift apple store at th and congress youre kidding me amazing sxsw apple,1
Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy,iPad,Positive,temporary apple store at sxsw is really coolas is the ipad apple sxsw fanboy,1
Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.,Apple,Positive,temporary apple store being set up for sxsw shit now the temptation is going to be out of control,1
Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw,Apple,Positive,temporary apple store opens at pm at th and congress line already growing ipad viewio link via sxsw,1
Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2,Apple,Positive,temporary apple store will be a block from my office cant wait to see the line tomorrow photos to come sxsw ipad,1
iPad news apps 'so last year' at #SXSW {link},iPad or iPhone App,Negative,ipad news apps so last year at sxsw link,0
10 iPhone Apps you�۪ll Probably Need and Use During #SXSW {link},iPad or iPhone App,Positive,iphone apps youll probably need and use during sxsw link,1
Now there are 150 million mobile google maps users @mention #sxsw,Other Google product or service,Positive,now there are million mobile google maps users sxsw,1
And a few are Android too RT @mention 10 New Mobile Apps I�۪ll Be Using at��#SXSW  {link},Android App,Positive,and a few are android too rt new mobile apps ill be using atsxsw link,1
"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw",iPad or iPhone App,Positive,ipad apps are just like software development in that once you release it you have to start working on the update sxsw,1
Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,iPad,Positive,overheard at sxsw quotthe ipad is a relaxing computerquot agreed ipad apple,1
Overheard at #sxsw interactive: &quot;Arg! I hate the iphone! I want my blackberry back&quot; #shocked,iPhone,Negative,overheard at sxsw interactive quotarg i hate the iphone i want my blackberry backquot shocked,0
���@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;�۝,Apple,Negative,at sxsw quotapple comes up with cool technology no ones ever heard of because they dont go to conferencesquot,0
"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw",iPad,Positive,last year at sxswi everbody was talking about the ipad this year its social media driven revolutions this year is better sxsw,1
"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW",Apple,Positive,long line at apple pop up store for ipad great marketing apple sxsw,1
"���@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSW�۝",Google,Positive,at google people do the work of people rather than people doing the work of agileagency sxsw,1
knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. #sxsw,iPad,Positive,knackered at home playing with ipad and updating iphone but timeline smashed with partytweets cant make me go to bed sxsw,1
overheard at MDW (and I'll second it) &quot;halfway through my iPhone battery already and I haven't even boarded the plane to #sxsw&quot; #amateurhour,iPhone,Negative,overheard at mdw and ill second it quothalfway through my iphone battery already and i havent even boarded the plane to sxswquot amateurhour,0
"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",Apple,Positive,technews at sxsw apple schools the marketing experts link technews apple jobsco sxsw tech,1
First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw,Unknown,Positive,first day at sxsw fun final presentation on google doodles googledoodle sxsw,1
Huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad,iPad,Positive,huge line at the apple store in austin sxsw crowd tripping over each other to get the new ipad,1
If ur not at the #google #aclu 80's party....u should be! #sxsw,Google,Positive,if ur not at the google aclu s partyu should be sxsw,1
